COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1673.4,53971.59746,320917.6,1.3493E+12,0,0,3.144935531,0,2016,7.250080109,10.7030983,0.942334235,73,0.922315717,0.229792744,0.398545116,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.698827863,0.234318495,,0.34275,0.520914137,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1512,50906.02028,166333.5,4.21989E+11,0,0,105.8694934,0,2016,7.048071861,10.70244312,0.926318586,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.197423846,0.432638228,1.12349689,1.579037547,1.704400182,0.241825029,,0.302692308,0.292294294,,,,,,,
BEL,Belgium,1545,51951.715,221315.7,5.16766E+11,0,0,374.2213342,0,2016,6.948936462,10.64741421,0.928964078,71.59999847,0.865759015,-0.058440432,0.4966591,0.764590085,0.259653389,0.419177502,0.909132481,1.424215317,1.497023702,0.215432063,,0.284307692,0.348629802,,,,,,,
CHE,Switzerland,1589.7,64063.94249,134175.9,6.44197E+11,0,0,211.8974034,0,2016,7.458519936,10.95817471,0.927628279,73.5,0.933947086,0.083161391,0.301562965,0.779470801,0.206316724,0.798536718,1.419003606,1.964175105,1.694410086,0.227177799,,0.3281,0.510792732,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1974,27655.34315,212923.3,2.67904E+11,0,0,24.08740074,0,2016,6.579056263,10.02634144,0.841388166,69.69999695,0.652289748,0.09289977,0.858124971,0.869228899,0.283042103,0.203538865,0.704101682,1.164838195,1.986255407,0.301905811,,0.491571429,0.48013857,,,0.220666662,0.213770002,0.221766666,0.124709077,0.126401633
CZE,Czech Republic,1779,24778.2455,221372.9,2.31018E+11,0,0,136.8341362,0,2016,6.735627174,10.3526144,0.930592895,69.30000305,0.850328267,-0.199620038,0.900430739,0.755701959,0.201041639,0.415120721,1.000417948,0.903230727,1.682170749,0.249742255,,0.264166667,0.29053387,,,0.302275181,0.285191953,,,
DEU,Germany,1362.8,48709.63953,1827480.5,3.80186E+12,0,0,235.7129294,0,2016,6.873763084,10.70171165,0.906029284,71.59999847,0.870515049,0.144377634,0.445922136,0.737745941,0.187254936,0.552613556,1.022540092,1.754329681,1.775906086,0.258360088,,0.306222222,0.354512513,,,,0.321322799,,0.343591362,0.447487652
ESP,Spain,1701.5,39860.34697,825854.5,1.46607E+12,0,98.25051117,93.04827901,0,2016,6.318612099,10.41392422,0.941736817,73.80000305,0.768173754,-0.051830858,0.818558574,0.652816117,0.300829351,0.302516669,0.727092505,0.904802382,1.606149554,0.254193395,,0.345384615,0.384632498,,,0.292382956,0.286672652,0.32690984,0.198379636,0.190778956
EST,Estonia,1791,24691.29576,37222.6,24194442664,0,0,30.2689211,0,2016,5.649675369,10.24387455,0.937715113,68.19999695,0.842770696,-0.153377563,0.639085293,0.72625488,0.176869258,0.339834303,0.94091773,1.323766232,1.753086329,0.310298592,,0.332461538,0.343596786,,,,0.21057786,,,0.389869928
FIN,Finland,1560,43968.93163,113162.3,2.55195E+11,0,0,18.08200783,0,2016,7.659843445,10.58807755,0.953940451,71.69999695,0.948372185,-0.030627485,0.249659568,0.797325075,0.181998447,0.485727251,1.265372396,1.975339055,1.479018688,0.193087325,,0.275615385,0.394821227,,0.571719229,,0.479229987,,0.580378592,
GBR,United Kingdom,1545,44465.81826,1199446.5,2.76824E+12,0,0,271.134481,0,2016,6.8242836,10.57921696,0.954068184,71.90000153,0.821192145,0.245971709,0.458313286,0.775853157,0.22958678,0.40863207,0.827514887,1.738277197,1.628819704,0.23867996,,0.341083333,0.382931799,,,,0.304498315,,0.300558358,
