COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1699.94,52252.979439999996,290956.7,1144260000000.0,34.7,0.0,2.867858584,1.0,2010
AUT,Austria,1557.0,50096.714439999996,159582.5,391893000000.0,30.3,0.0,101.2874302,1.0,2010
BEL,Belgium,1546.0,50872.487,215724.9,483548000000.0,28.4,0.0,359.82780710000003,1.0,2010
CAN,Canada,1715.0,45502.56024,484400.89999999997,1613460000000.0,33.6,0.0,3.7395102660000004,1.1,2010
CHE,Switzerland,1624.3,62002.87617,129779.00000000001,583783000000.0,32.6,0.0,198.018747,0.9,2010
CHL,Chile,2070.0,24960.82175,200287.59999999998,218538000000.0,0.0,0.0,22.85490508,1.6,2010
CZE,Czech Republic,1800.0,22944.4926,219905.7,207478000000.0,26.6,0.0,135.6086225,1.1,2010
DEU,Germany,1389.9,44451.21699,1723150.9000000001,3417090000000.0,30.2,0.0,234.6069082,0.9,2010
DNK,Denmark,1422.0,52263.8567,113719.09999999999,321995000000.0,27.2,0.0,130.74906909999999,0.8,2010
ESP,Spain,1710.4,41034.3406,768714.2000000001,1431620000000.0,35.2,97.74890137,93.15193096,1.0,2010
EST,Estonia,1810.0,21192.42548,38576.8,19490936349.0,32.0,0.0,31.41012031,1.7,2010
FIN,Finland,1592.0,43535.17087,107176.79999999999,247800000000.0,27.7,0.0,17.64841066,1.0,2010
FRA,France,1540.0,42435.38246,1087821.7,2642610000000.0,33.7,0.0,118.75934,0.9,2010
GBR,United Kingdom,1506.0,45526.55342,1128414.4999999998,2452900000000.0,34.4,0.0,259.44018930000004,1.0,2010
GRC,Greece,1932.0,31510.05117,223584.80000000002,299362000000.0,34.1,0.0,86.27882855,1.1,2010
HUN,Hungary,1777.0,21617.7991,268598.89999999997,130923000000.0,29.4,0.0,110.46087479999998,1.3,2010
IRL,Ireland,1702.0,48697.70833,58426.9,222134000000.0,32.3,0.0,66.19473073,1.0,2010
ISL,Iceland,1514.0,45951.92989,8193.900000000001,13683689802.0,26.2,0.0,3.172478803,1.0,2010
ISR,Israel,1956.53,34997.43567,82544.4,233731000000.0,42.6,0.0,352.2920518,1.1,2010
ITA,Italy,1777.3,39051.105339999995,1174339.7,2125060000000.0,34.7,0.0,201.5279017,0.9,2010
JPN,Japan,1733.0,40175.19119,2398768.0000000005,5700100000000.0,0.0,0.0,351.30983399999997,0.9,2010
LTU,Lithuania,1643.0,18835.71381,92302.19999999998,37120517694.0,33.6,0.0,49.4181412,2.2,2010
LUX,Luxembourg,1517.0,62131.56237000001,11912.4,53212476812.0,30.5,0.0,208.6226337,0.6,2010
LVA,Latvia,1738.0,18174.85913,68601.90000000001,23757368290.0,35.0,0.0,33.70107648,2.3,2010
MEX,Mexico,2150.0,16183.105609999999,1161191.1,1057800000000.0,45.3,93.06893921,60.35080172,2.8,2010
NLD,Netherlands,1420.0,54477.2274,276988.5,846555000000.0,27.8,0.0,492.59988139999996,0.9,2010
NOR,Norway,1415.3,46594.18608,87792.8,429131000000.0,25.7,0.0,13.38626291,0.9,2010
NZL,New Zealand,1755.0,38802.78948,61476.1,146584000000.0,0.0,0.0,16.52310964,1.2,2010
POL,Poland,1834.0,23652.32651,763216.3,479258000000.0,33.2,0.0,124.2092007,1.4,2010
PRT,Portugal,1735.0,27080.30185,218106.3,238303000000.0,35.8,0.0,115.4394585,1.2,2010
SVK,Slovak Republic,1805.0,22359.7881,113547.59999999999,89501012916.0,27.3,0.0,112.10887460000001,1.6,2010
SVN,Slovenia,1680.1,35473.81452,42582.3,48013606745.0,24.9,0.0,101.68582690000001,1.0,2010
SWE,Sweden,1494.0,40175.42479,186238.80000000002,488909000000.0,27.7,0.0,22.85452552,0.9,2010
USA,United States,1773.0,59476.636029999994,4943513.699999999,14992100000000.0,40.4,0.0,33.81566442,1.3,2010
