SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,101.3776,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,101.4714,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,101.475,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,101.3326,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,101.1438,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,101.0435,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,101.1295,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,101.3009,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,101.4212,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,101.3963,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,101.3038,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,101.2555,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,101.3278,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,101.4484,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,101.5105,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,101.4394,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,101.3175,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,101.2679,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,101.39,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,101.6216,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUS,Australia,M,Monthly,5/19/2019,5/19/2019,IDX,Index,0,Units,,,101.8912,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,101.1736,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,101.3792,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,101.5901,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,101.6852,,
