COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1683.55,53946.26631,322108.1,1312200000000.0,0.0,0.0,3.100112596,0.9,2015,7.309060574,10.6901989,0.95186156,72.69999695,0.9218710059999999,0.323258132,0.35655438899999997,0.7900502090000001,0.209636971,0.47855684200000004,1.1202399729999999,1.765201688,1.686917663,0.230798155,,0.34275,0.416127056,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1500.0,50373.81106,171362.00000000003,413555000000.0,30.5,0.0,104.73079270000001,0.9,2015,7.07644701,10.69885254,0.9281103009999999,72.09999847,0.900305152,0.09687189,0.55747962,0.798262954,0.16446903300000001,0.454789877,1.263259649,1.564293861,1.7628169059999999,0.249110445,0.305,0.302692308,0.319265366,,,,,,,
BEL,Belgium,1545.0,52120.10915,226377.6,509186000000.0,27.7,0.0,372.33143989999996,0.9,2015,6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.80517751,0.239958704,0.459024221,0.987220764,1.440813541,1.511810899,0.218969136,0.27699999999999997,0.284307692,0.403824568,,,,,,,
CAN,Canada,1712.0,48979.30251,532929.4999999999,1802510000000.0,0.0,0.0,3.940449068,1.1,2015,7.412772655,10.67242527,0.9390670659999999,73.0,0.931468964,0.24513171600000003,0.427152246,0.845327616,0.286280215,0.644104123,1.370862961,1.80216682,1.611453891,0.21738882399999998,,0.3368,0.667739451,,,,,0.38546919799999996,0.418500453,
CHE,Switzerland,1589.5,64222.839420000004,139679.3,634045000000.0,32.3,0.0,209.59600659999998,0.7,2015,7.572136878999999,10.95543003,0.93833375,73.19999695,0.9278024440000001,0.103407413,0.209533513,0.808529079,0.16575907199999998,0.787730038,1.44887805,1.955272675,1.799911141,0.237701878,0.32299999999999995,0.3281,0.496126264,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1988.0,26759.21876,210741.00000000003,264555000000.0,47.7,96.87413025,23.88959756,1.5,2015,6.532749653,10.022008900000001,0.827141881,69.59999847,0.76888144,0.03110862,0.811511338,0.8030247090000001,0.332746744,0.300492525,0.718928695,1.263902068,1.9381471869999998,0.296681672,0.47700000000000004,0.491571429,0.39262551100000004,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1756.0,23962.81256,228471.2,225493000000.0,25.9,0.0,136.58928899999998,0.9,2015,6.608017445,10.32893276,0.9113625879999999,68.80000305,0.8084841970000001,-0.147829607,0.8864674570000001,0.750773847,0.206080526,0.435425878,1.010938764,0.931855083,1.8022341730000002,0.272734463,0.259,0.26416666699999997,0.265170455,,,0.302275181,0.285191953,,,
DEU,Germany,1369.8,48034.59454,1856242.0999999999,3718480000000.0,31.7,0.0,234.15366859999997,0.8,2015,7.037137508,10.69053364,0.9259232279999999,71.30000305,0.889428854,0.173545972,0.412168294,0.764539361,0.20270516,0.628003657,1.060863018,1.773268819,1.6488445999999999,0.234306157,0.317,0.306222222,0.390182853,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1407.0,54196.8862,109631.9,343294000000.0,28.2,0.0,135.3532508,0.6,2015,7.5144248010000005,10.72455978,0.9597013000000001,71.5,0.94143641,0.217952549,0.191016391,0.8292174940000001,0.217577577,0.579888642,1.225186348,1.959059715,1.61830771,0.215360165,0.282,0.267,0.537219882,,,,,,,
ESP,Spain,1699.6,40087.62768,849930.3,1420990000000.0,36.2,98.14325714,92.95268301,0.8,2015,6.380663395,10.38254833,0.95647186,73.5,0.73200047,-0.075814046,0.8216649290000001,0.7322694059999999,0.284693688,0.277751327,0.648124874,0.8668504359999999,1.658345461,0.259901732,0.36200000000000004,0.345384615,0.389747888,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
